License #,Well UWI,Status,Licensee,Company WI%,Deemed Liability
0408609,100/08-22-057-20W5/00,Pumping Oil,AlphaBow Energy Ltd.,1,89908
0411840,100/13-22-057-20W5/00,Suspended Oil,AlphaBow Energy Ltd.,1,89908
0414208,100/03-27-057-20W5/00,Suspended Oil,AlphaBow Energy Ltd.,0.4375,89908
0414207,100/01-28-057-20W5/00,Suspended Oil,AlphaBow Energy Ltd.,0.4374992,63583
0418070,100/13-33-057-20W5/00,Suspended Oil,AlphaBow Energy Ltd.,0.4375,89908
0414192,100/15-33-057-20W5/00,Suspended Oil,AlphaBow Energy Ltd.,0.4375,89908
0282079,100/13-34-058-18W5/00,Suspended Gas,AlphaBow Energy Ltd.,0.175,113025
0273210,102/10-02-059-18W5/02,Suspended Gas,AlphaBow Energy Ltd.,0.175,113025
0064048,100/07-10-059-21W5/02,Suspended Oil,AlphaBow Energy Ltd.,0.291669,150322
0411704,100/01-02-059-22W5/00,Flowing Oil,AlphaBow Energy Ltd.,0.7,89908
0409490,100/05-21-059-22W5/00,Flowing Oil,AlphaBow Energy Ltd.,0.67375,89908
0082783,100/07-21-059-22W5/00,Pumping Oil,AlphaBow Energy Ltd.,0.7,119130
0330450,100/14-04-060-21W5/02,Pumping Gas,AlphaBow Energy Ltd.,0.5,119130
0344269,100/10-07-060-21W5/02,Pumping Gas,AlphaBow Energy Ltd.,0.5,119130
0358331,100/01-08-060-21W5/00,Pumping Gas,AlphaBow Energy Ltd.,0.5,141600
0319062,100/10-09-060-21W5/02,Pumping Gas,AlphaBow Energy Ltd.,0.5,141600
0399296,100/12-09-060-21W5/02,Pumping Gas,AlphaBow Energy Ltd.,0.5,141600
0080000,100/14-07-060-22W5/00,Pumping Oil,AlphaBow Energy Ltd.,0.7,89908
0409444,100/15-12-060-23W5/00,Flowing Oil,AlphaBow Energy Ltd.,0.7,89908
0360238,102/01-13-061-21W5/00,Suspended Gas,AlphaBow Energy Ltd.,0.5,69945
0434489,100/03-13-061-21W5/00,Suspended Gas,AlphaBow Energy Ltd.,0.5,89908
0018037,100/10-05-064-19W5/00,Suspended Oil,AlphaBow Energy Ltd.,0.98888093,184965
0158358,100/12-19-064-19W5/00,Pumping Gas,AlphaBow Energy Ltd.,0.98888093,94081
0188066,102/02-20-064-19W5/00,Flowing Gas,AlphaBow Energy Ltd.,0.98888093,88991
0015291,100/12-23-064-19W5/00,Suspended Gas,AlphaBow Energy Ltd.,0.98888093,100719
0185151,100/03-35-064-19W5/00,Flowing Gas,AlphaBow Energy Ltd.,0.98888093,88991
0026446,100/10-14-064-20W5/00,Flowing Gas,AlphaBow Energy Ltd.,0.98888093,88991
0031175,100/07-16-064-20W5/00,Flowing Gas,AlphaBow Energy Ltd.,0.98888093,258300
0024022,100/10-24-064-20W5/00,Flowing Gas,AlphaBow Energy Ltd.,0.98888093,88991
0030802,100/11-06-065-18W5/00,Suspended Gas,AlphaBow Energy Ltd.,0.98888093,88991
0024668,100/12-01-065-19W5/02,Suspended Gas,AlphaBow Energy Ltd.,0.98888093,184965
0214502,100/09-11-053-01W6/00,Suspended Gas,AlphaBow Energy Ltd.,0.5,109145
0205831,100/04-21-053-01W6/03,Suspended Gas,AlphaBow Energy Ltd.,0.5,111585
0198271,100/10-21-053-01W6/00,Suspended Gas,AlphaBow Energy Ltd.,0.5,109145
0324652,100/06-20-055-18W4/00,Abandoned Zone,AlphaBow Energy Ltd.,1,78951
0324652,100/06-20-055-18W4/02,Suspended,AlphaBow Energy Ltd.,1,
0324652,100/06-20-055-18W4/03,Suspended,AlphaBow Energy Ltd.,1,
0086061,100/13-23-056-16W4/00,Suspended,AlphaBow Energy Ltd.,0.5,125239
0086061,100/13-23-056-16W4/02,Suspended,AlphaBow Energy Ltd.,0.5,
0207798,102/13-23-056-16W4/00,Suspended,AlphaBow Energy Ltd.,0.5,223735
0207798,102/13-23-056-16W4/02,Suspended,AlphaBow Energy Ltd.,0.5,
0406581,102/14-14-056-16W4/02,Suspended,AlphaBow Energy Ltd.,0.32425,78951
,,,,,
,,,,,
,,,,,11595392
