UWI,Formatted UWI,License Number,Formation,Lab Name,Test Interval Top (m),Test Interval Bottom (m),Condensate Flag,Sample Point Description,Sample Pressure,Sample Temperature,Received Pressure,Received Temperature,H2S,CO2,N2,H2,HE,C1,C2,C3,IC4,NC4,IC5,NC5,C6,C7 Plus,C7,C8,C9,C10 Plus,Gas Relative Density,Gas Molecular Weight,Gas Gross Heat Value Moisture Free,Gas Gross Heat Value Moisture And Acid Gas Free,Calculated PCP Sampled,Calculated TCP Sampled,Molecular Weight Of C7 Plus,Province,Sample Date
100032705720W500,100/03-27-057-20W5/00,0414208,cardium,Core Laboratories Canada,1725.0,3161.0,N,Wellhead Casing @ 4-34,825.0,-6.0,859.0,22.0,0.0,0.0054,0.0159,0.0,0.0002,0.8222,0.0795,0.0507,0.0053,0.0138,0.0029,0.0026,0.0012,0.0003,,,,,0.696,20.1,,44.82,4572.6,214.7,125.6,AB,2011-12-19
100033506419W500,100/03-35-064-19W5/00,0185151,Notikewin,Core Laboratories,1401.0,1410.0,N,,,,,,0.0,0.0053,0.0086,0.0001,0.0003,0.9139,0.0461,0.015,0.0024,0.0031,0.0012,0.0008,0.001,0.0023,,,,,0.62,,,,,,,AB,2001-05-03
100033506419W500,100/03-35-064-19W5/00,0185151,Notikewin,Core Laboratories,1401.0,1410.0,N,Test Meter Run,405.0,18.0,354.0,22.0,0.0,0.0056,0.0096,0.0,0.0004,0.9032,0.0516,0.0166,0.0027,0.0037,0.0013,0.0009,0.0012,0.0032,,,,,0.63,18.2,,41.35,4595.0,203.0,100.7,AB,2004-08-15
100033506419W500,100/03-35-064-19W5/00,0185151,1205 \ NOTIKEWIN,AGAT LABORATORIES LTD.,1401.0,1410.0,Y,,,,,,0.0,0.0048,0.0085,0.0,0.0003,0.9156,0.0461,0.0149,0.0024,0.003,0.0011,0.0008,0.0009,0.0016,,,,,0.617,,,,,,,AB,1999-07-08
100033506419W500,100/03-35-064-19W5/00,0185151,Notikewin,Core Laboratories,1401.0,1410.0,N,,,,,,0.0,0.0046,0.0099,0.0001,0.0004,0.9024,0.0521,0.017,0.0028,0.0037,0.0013,0.0009,0.0012,0.0037,,,,,0.631,,,,,,,AB,2004-02-26
100040605319W500,100/04-06-053-19W5/00,0252239,Cardium G,Core Laboratories,2252.0,2269.0,Y,,,,,,0.0,0.0074,0.004,0.0001,0.0001,0.8291,0.0895,0.0421,0.0052,0.0114,0.0029,0.0027,0.0018,0.0038,,,,,0.697,,,,,,,AB,2001-12-12
100040605319W500,100/04-06-053-19W5/00,0252239,Cardium Gas,Core Laboratories,2252.0,2269.0,N,,,,,,0.0,0.0072,0.0055,0.0001,0.0002,0.8362,0.0848,0.0408,0.0051,0.0113,0.003,0.0028,0.0017,0.0013,,,,,0.686,,,,,,,AB,2001-04-28
100041505619W502,100/04-15-056-19W5/02,0092507,CARDIUM FM,Corelabs,2095.0,2114.0,N,,,,,,0.0,0.0065,0.0174,0.0,0.0001,0.8119,0.0758,0.0488,0.0055,0.015,0.0045,0.0048,0.0056,0.0041,,,,,0.724,,,,,,,AB,2002-04-17
100042105519W500,100/04-21-055-19W5/00,0280424,Cadomin,Core Laboratories,2756.0,2761.0,N,Separator Meter Run @ 12-2,650.0,6.0,886.0,22.0,0.0,0.0242,0.0025,0.0,0.0001,0.8783,0.0658,0.018,0.0031,0.0036,0.0013,0.0009,0.0009,0.0013,,,,,0.647,18.7,,41.83,4663.3,206.8,91.6,AB,2007-07-09
100052105922W500,100/05-21-059-22W5/00,0409490,Cardium,AGAT Laboratories,1898.6,2441.3,N,METER RUN,48.0,18.0,350.0,21.0,0.0,0.0042,0.0473,0.0001,0.0005,0.7927,0.0717,0.0483,0.0055,0.0151,0.0041,0.0046,0.0037,0.0022,,,,,0.721,20.9,,44.41,4515.4,213.9,103.4,AB,2009-08-09
