well name,wellbore_uwi,formatted_uwi,well_fluid,well_status,well_type,bottom_latitude,bottom_longitude,last_spud_date,license_date,drill_contr_code,fin_drl_date,ground_elevation (m),kb_elevation (m),on_prod_date,os_area_code,os_dep_code,pb_depth (m),rig_no,rig_rlse_date,tv_depth (m),well_total_depth (m),pool_name,province,field_name,formation,cum_oil_volume (m3),cum_gas_volume (e3m3),cum_water_volume (m3),cum_water_injection_volume (m3),cum_steam_injection_volume (m3),recent_prod_date,recent_oil_volume (m3),recent_gas_volume (e3m3),recent_water_volume (m3),recent_water_inj_volume (m3),recent_steam_inj_volume (m3),surface_latitude,surface_longitude,authorization_id,surface_uwi,licensee,projected_formation,well_symbol,well_path_geometry
SOC PINE CK 12-2-56-19,100120205619W500,100/12-02-056-19W5/00,Oil,Suspended,Production,53.81280762,-116.7219942,1980-05-08,,,1980-05-29,1101.8,1105.8,1980-09-08,,0,,,1980-05-29,2235,2235,SECOND WHITE SPECKS A,AB,PINE CREEK,Second White Specks,63478.8,8412,491.6,0,0,2009-10-01,0,0,0,0,0,53.81280762,-116.7219942,82576,12-02-056-19W5,Alphabow Energy Ltd.,,Suspended Oil,"MULTILINESTRING((-116.721994239305 53.8128076241627,-116.721994239305 53.8128076241627))"
SOC PINE CK 16-16-56-19,100161605619W500,100/16-16-056-19W5/00,Oil,Suspended,Production,53.84314636,-116.7552365,1975-06-21,,,1975-07-19,1208.5,1213.7,1975-08-25,,0,2281.4,,1975-07-19,2301.2,2301.2,SECOND WHITE SPECKS A,AB,PINE CREEK,Second White Specks,70050,23992,267.2,0,0,2013-07-01,0,0,0,0,0,53.84314636,-116.7552365,53638,16-16-056-19W5,Alphabow Energy Ltd.,,Suspended Oil,"MULTILINESTRING((-116.755236514387 53.8431463595964,-116.755236514387 53.8431463595964))"
SOC PINE CK 2-29-56-19,100022905619W500,100/02-29-056-19W5/00,Oil,Suspended,Production,53.86457507,-116.7831627,1984-07-11,,0Z17,1984-07-30,1315.4,1320,1984-09-18,,0,,6,1984-08-02,2377,2377,SECOND WHITE SPECKS A,AB,PINE CREEK,Second White Specks,2227.8,5883.6,139.4,0,0,2009-12-01,0,0,0,0,0,53.86457507,-116.7831627,107872,02-29-056-19W5,Alphabow Energy Ltd.,Second White Specks,Suspended Oil,"MULTILINESTRING((-116.783162672613 53.8645750678723,-116.783162672613 53.8645750678723))"
SOC PINE CK 4-15-56-19,100041505619W500,100/04-15-056-19W5/00,Oil,Suspended,Production,53.83516744,-116.7458064,1981-10-11,,,1981-10-27,1248.9,1256.6,1982-02-17,,0,,,1981-10-27,2353,2353,SECOND WHITE SPECKS A,AB,PINE CREEK,Second White Specks,16640.5,10353.8,0,0,0,1988-04-01,0,0,0,0,0,53.83516744,-116.7458064,92507,04-15-056-19W5,Alphabow Energy Ltd.,,Suspended Oil,"MULTILINESTRING((-116.74580644543 53.8351674375781,-116.74580644543 53.8351674375781))"
SOC PINE CK 6-21-56-19,100062105619W500,100/06-21-056-19W5/00,Oil,Suspended,Production,53.85109623,-116.7679606,1982-09-17,,0Y37,1982-10-06,1218.8,1223.2,1982-10-31,,0,,1,1982-10-06,2330,2330,SECOND WHITE SPECKS A,AB,PINE CREEK,Second White Specks,12325.6,12454.8,73.8,0,0,2012-07-01,0,0,0,0,0,53.85109623,-116.7679606,97328,06-21-056-19W5,Alphabow Energy Ltd.,,Suspended Oil,"MULTILINESTRING((-116.767960580652 53.8510962347864,-116.767960580652 53.8510962347864))"
SOC PINE CK 7-10-56-19,100071005619W500,100/07-10-056-19W5/00,Oil,Active,Production,53.82176253,-116.7344933,1972-11-27,,,1973-01-06,1122.9,1128.4,1973-03-18,,0,2225,,1973-01-06,2846.8,2846.8,SECOND WHITE SPECKS A,AB,PINE CREEK,Second White Specks,177156.31,99554.81,1878.3,0,0,2023-08-01,0,0,0,0,0,53.82176253,-116.7344933,44292,07-10-056-19W5,Alphabow Energy Ltd.,,Oil,"MULTILINESTRING((-116.734493337904 53.8217625301652,-116.734493337904 53.8217625301652))"
SOC PINE CK 9-20-56-19,100092005619W500,100/09-20-056-19W5/00,Oil,Suspended,Production,53.85734511,-116.7805076,1980-03-24,,0T62,1980-04-17,1339.6,1343.3,1980-07-04,,0,,,1980-04-17,2403,2403,SECOND WHITE SPECKS A,AB,PINE CREEK,Second White Specks,5671.6,1634.3,0,0,0,1987-12-01,0,0,0,0,0,53.85734511,-116.7805076,81814,09-20-056-19W5,Alphabow Energy Ltd.,,Suspended Oil,"MULTILINESTRING((-116.780507641132 53.8573451050109,-116.780507641132 53.8573451050109))"
